"" "" "" "" "" "" "ODR" "ERR" "EDR" "FDR" "FIT" "ODR" "ERR" "EDR" "FDR" "FIT"
"res.run" 54 0.6 0.2 0.2 0.332123397104434 0.750476763100281 0.33026 0.732045635397736 0.443259114988081 0.07 0.00862380066408799 0.33026 0.735252237804273 0.379196725692147 0.09 -20734.4778115061
"res.run" 55 0.6 0.3 0.1 0.284372849872794 0.627387333374512 0.28088 0.617988524858369 0.251549863822065 0.16 0.00752176942526634 0.28088 0.61264791103178 0.294630240563285 0.13 -15577.8651289235
"res.run" 56 0.6 0.4 0 0.236411783679864 0.453692069602697 0.23294 0.442837970802742 0.216061535076297 0.19 0.0100584907203275 0.23294 0.439301078380393 0.28170103580473 0.13 -7940.79732166412
"res.run" 57 0.7 0 0.3 0.333378970324657 0.880243088141005 0.32762 0.876644506794725 0.34931699644842 0.1 0.00982908563207866 0.32762 0.874688113153859 0.325069583655478 0.11 -21103.0190298198
"res.run" 58 0.7 0.1 0.2 0.285732926094191 0.77999393461412 0.28364 0.784389612241265 0.273140658890434 0.14 0.00831224280648016 0.28364 0.782412446966231 0.259700092166308 0.15 -18145.4184221461
"res.run" 59 0.7 0.2 0.1 0.237876362902436 0.638863642546512 0.23752 0.639737035324219 0.225887047027466 0.18 0.00880336528594529 0.23752 0.638974443248109 0.230083184750006 0.18 -13680.648431656
"res.run" 60 0.7 0.3 0 0.189809280749392 0.425460574217787 0.18976 0.420046457687858 0.169225842905711 0.26 0.0163720667550353 0.18976 0.423882793496736 0.187779599453117 0.23 -6230.99519749716
"res.run" 61 0.8 0 0.2 0.239342159913828 0.820953729007103 0.23932 0.811608753456699 0.23029887802302 0.18 0.0106131039647129 0.23932 0.810210810326954 0.22790527445914 0.18 -15491.6198353232
"res.run" 62 0.8 0.1 0.1 0.191379580761959 0.655916514427495 0.1915 0.633567912253951 0.195333735258143 0.22 0.0108005434553686 0.1915 0.632163561445139 0.20127912047351 0.21 -11313.8698607206
"res.run" 63 0.8 0.2 0 0.1432064826488 0.378854440748491 0.14458 0.37332552245982 0.130954888859281 0.35 0.01827166073818 0.14458 0.37807382716911 0.142647669215949 0.32 -4391.67488595803
"res.run" 64 0.9 0 0.1 0.144882503451362 0.683915070519926 0.14156 0.676120556461508 0.141666011511433 0.32 0.0147080794853622 0.14156 0.675724539340368 0.141660494833 0.32 -8698.31107106599
"res.run" 65 0.9 0.1 0 0.0966033893780889 0.287280710777855 0.09658 0.259587662179597 0.0835460836329741 0.58 0.0271875113074355 0.09658 0.268628003128745 0.0920639407308932 0.52 -2313.48614146299
"res.run" 66 1 0 0 0.0500000009372583 0.0250000192384587 0.04976 0.025 0.0500000000000001 1 0.075251282345835 0.04976 0.0250001791596783 0.0500000440345971 1 25.6143279847987
